case,repetition,structure,ns_per_lookup,metadata_bytes,bytes_per_managed_mib,checksum,elapsed_seconds
random-d100-r256-rs21-gs12,5,radix,6.8912,1083488,2116.19,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,cached_radix,7.8004,1083744,2116.69,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,memx_bounded,5.763,1050824,2052.39,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,memx_bounded_assume_mapped,4.0775,1050824,2052.39,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,memx_bounded_trusted,3.6399,1050824,2052.39,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,memx_bounded_branchless,4.9749,1050832,2052.41,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,memx_overlay_checked,5.6106,1050824,2052.39,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,memx_overlay_trusted,3.447,1050824,2052.39,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,memx_sparse,6.2449,1245384,2432.39,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,memx_flat_fallback,3.0555,1048776,2048.39,0xb7a9108205ed60d6,0.3914742080014548
uniform-d0-r256-rs21-gs12,5,flat,3.3264,1048608,2048.06,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,flat_assume_mapped,3.0775,1048608,2048.06,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,two_level,4.3809,1052744,2056.14,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,radix,7.0677,1083488,2116.19,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,cached_radix,8.2337,1083744,2116.69,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,memx_bounded,5.6481,2248,4.39,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,memx_bounded_assume_mapped,2.3323,2248,4.39,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,memx_bounded_trusted,2.6531,2248,4.39,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,memx_bounded_branchless,3.2034,2256,4.41,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,memx_overlay_checked,4.5613,2248,4.39,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,memx_overlay_trusted,2.2428,2248,4.39,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,5,memx_sparse,5.7291,196808,384.39,0x9db2929b7fb88c91,0.33107539499906125
uniform-d0-r256-rs21-gs12,6,flat,3.1452,1048608,2048.06,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,flat_assume_mapped,3.0829,1048608,2048.06,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,two_level,4.2233,1052744,2056.14,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,radix,7.0582,1083488,2116.19,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,cached_radix,8.0272,1083744,2116.69,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,memx_bounded,5.6263,2248,4.39,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,memx_bounded_assume_mapped,2.6467,2248,4.39,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,memx_bounded_trusted,2.4517,2248,4.39,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,memx_bounded_branchless,3.1324,2256,4.41,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,memx_overlay_checked,4.6273,2248,4.39,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,memx_overlay_trusted,2.2678,2248,4.39,0x9db2929b7fb88c91,0.3294386810011929
uniform-d0-r256-rs21-gs12,6,memx_sparse,6.0231,196808,384.39,0x9db2929b7fb88c91,0.3294386810011929
random-d100-r256-rs21-gs12,6,flat,3.5208,1048608,2048.06,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,flat_assume_mapped,3.0697,1048608,2048.06,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,two_level,4.6395,1052744,2056.14,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,radix,6.6783,1083488,2116.19,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,cached_radix,9.3215,1083744,2116.69,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,memx_bounded,6.2709,1050824,2052.39,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,memx_bounded_assume_mapped,4.1059,1050824,2052.39,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,memx_bounded_trusted,3.9407,1050824,2052.39,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,memx_bounded_branchless,4.9874,1050832,2052.41,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,memx_overlay_checked,5.7523,1050824,2052.39,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,memx_overlay_trusted,3.4963,1050824,2052.39,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,memx_sparse,6.5339,1245384,2432.39,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,6,memx_flat_fallback,2.9848,1048776,2048.39,0xb7a9108205ed60d6,0.4053457280024304
random-d100-r256-rs21-gs12,7,flat,3.396,1048608,2048.06,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,flat_assume_mapped,3.007,1048608,2048.06,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,two_level,4.2141,1052744,2056.14,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,radix,6.8644,1083488,2116.19,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,cached_radix,7.9074,1083744,2116.69,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,memx_bounded,5.8371,1050824,2052.39,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,memx_bounded_assume_mapped,3.9576,1050824,2052.39,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,memx_bounded_trusted,3.7063,1050824,2052.39,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,memx_bounded_branchless,4.9157,1050832,2052.41,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,memx_overlay_checked,5.5483,1050824,2052.39,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,memx_overlay_trusted,3.4275,1050824,2052.39,0xb7a9108205ed60d6,0.3888901120008086
random-d100-r256-rs21-gs12,7,memx_sparse,6.2651,1245384,2432.39,0xb7a9108205ed60d6,0.3888901120008086
